Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuitesProblemasAuto,Chrome 113.0.0.0,,,2023-05-23 14:31:59,2023-05-23 14:43:06,"11m - 7,279s",ERROR
,,,,,,,
Test Cases/SolucionEnscriptsIndividuales/ClickEnElemento,Chrome 113.0.0.0,,,2023-05-23 14:32:25,2023-05-23 14:37:22,"4m - 56,893s",FAILED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 14:32:25,2023-05-23 14:32:26,"0,524s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 14:32:47,2023-05-23 14:33:47,"1m - 0,367s",PASSED
"navigateToUrl(""http://pruebaselenium.serviciosdetesting.com/"")",Chrome 113.0.0.0,,,2023-05-23 14:33:47,2023-05-23 14:36:36,"2m - 48,994s",PASSED
"comment(""Practica nivel 1"")",Chrome 113.0.0.0,,,2023-05-23 14:36:36,2023-05-23 14:36:40,"3,891s",PASSED
"click(findTestObject(""AllTestLevel/BotonEmpezar""))",Chrome 113.0.0.0,,,2023-05-23 14:36:40,2023-05-23 14:37:21,"41,324s",FAILED
Start listener action : sampleAfterTestCase,Chrome 113.0.0.0,,,2023-05-23 14:37:21,2023-05-23 14:37:21,"0,093s",PASSED
Start listener action : addFailedTCToList,Chrome 113.0.0.0,,,2023-05-23 14:37:21,2023-05-23 14:37:22,"0,065s",PASSED
,,,,,,,
Test Cases/SolucionEnscriptsIndividuales/EscribirEnElemento,Chrome 113.0.0.0,,,2023-05-23 14:37:22,2023-05-23 14:38:12,"50,002s",FAILED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 14:37:22,2023-05-23 14:37:22,"0,003s",PASSED
"comment(""Practica nivel 2"")",Chrome 113.0.0.0,,,2023-05-23 14:37:37,2023-05-23 14:37:37,"0,170s",PASSED
"setText(findTestObject(""AllTestLevel/Textbox_nivel2""), ""selenium"")",Chrome 113.0.0.0,,,2023-05-23 14:37:37,2023-05-23 14:38:12,"35,145s",FAILED
Start listener action : sampleAfterTestCase,Chrome 113.0.0.0,,,2023-05-23 14:38:12,2023-05-23 14:38:12,"0,017s",PASSED
Start listener action : addFailedTCToList,Chrome 113.0.0.0,,,2023-05-23 14:38:12,2023-05-23 14:38:12,"0,123s",PASSED
,,,,,,,
