Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DatosEnExcel,Chrome 113.0.0.0,,,2023-05-23 17:40:37,2023-05-23 17:43:21,"2m - 44,032s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Chrome 113.0.0.0,,,2023-05-23 17:40:39,2023-05-23 17:41:13,"34,166s",PASSED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 17:40:39,2023-05-23 17:40:40,"1,379s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 17:40:44,2023-05-23 17:40:51,"7,389s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 17:40:51,2023-05-23 17:40:51,"0,245s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Chrome 113.0.0.0,,,2023-05-23 17:40:51,2023-05-23 17:40:54,"3,154s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Chrome 113.0.0.0,,,2023-05-23 17:40:54,2023-05-23 17:40:56,"1,392s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Chrome 113.0.0.0,,,2023-05-23 17:40:56,2023-05-23 17:40:57,"1,613s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Last Name_lastName""), Apellido)",Chrome 113.0.0.0,,,2023-05-23 17:40:57,2023-05-23 17:40:59,"1,075s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Email_userEmail""), Email)",Chrome 113.0.0.0,,,2023-05-23 17:40:59,2023-05-23 17:41:00,"1,402s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Age_age""), Edad)",Chrome 113.0.0.0,,,2023-05-23 17:41:00,2023-05-23 17:41:01,"1,275s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Salary_salary""), Salario)",Chrome 113.0.0.0,,,2023-05-23 17:41:01,2023-05-23 17:41:03,"1,380s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Department_department""), Departamento)",Chrome 113.0.0.0,,,2023-05-23 17:41:03,2023-05-23 17:41:04,"1,403s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-23 17:41:04,2023-05-23 17:41:05,"0,915s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Add_searchBox""), TextoaBuscar)",Chrome 113.0.0.0,,,2023-05-23 17:41:05,2023-05-23 17:41:06,"1,510s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/svg""))",Chrome 113.0.0.0,,,2023-05-23 17:41:06,2023-05-23 17:41:07,"0,781s",PASSED
"textoBuscado = getText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/div_alejandro""), CONTINUE_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-23 17:41:07,2023-05-23 17:41:08,"0,814s",PASSED
delay(DelayCorto),Chrome 113.0.0.0,,,2023-05-23 17:41:08,2023-05-23 17:41:10,"1,606s",PASSED
"verifyMatch(TextoaBuscar, TextoaBuscar, true)",Chrome 113.0.0.0,,,2023-05-23 17:41:10,2023-05-23 17:41:10,"0,087s",PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-23 17:41:10,2023-05-23 17:41:11,"1,108s",PASSED
Start listener action : sampleAfterTestCase,Chrome 113.0.0.0,,,2023-05-23 17:41:11,2023-05-23 17:41:11,"0,002s",PASSED
Start listener action : addFailedTCToList,Chrome 113.0.0.0,,,2023-05-23 17:41:11,2023-05-23 17:41:11,"0,026s",PASSED
Video,Chrome 113.0.0.0,,,2023-05-23 17:41:13,2023-05-23 17:41:13,"0,001s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Variables_simples,Chrome 113.0.0.0,,,2023-05-23 17:41:13,2023-05-23 17:41:45,"32,078s",PASSED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-23 17:41:13,2023-05-23 17:41:14,"0,142s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-23 17:41:14,2023-05-23 17:41:16,"2,203s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 17:41:16,2023-05-23 17:41:16,"0,170s",PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Chrome 113.0.0.0,,,2023-05-23 17:41:16,2023-05-23 17:41:19,"3,534s",PASSED
"click(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/button_Add""))",Chrome 113.0.0.0,,,2023-05-23 17:41:19,2023-05-23 17:41:29,"9,718s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_First Name_firstName""), Nombre)",Chrome 113.0.0.0,,,2023-05-23 17:41:29,2023-05-23 17:41:31,"1,361s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Last Name_lastName""), Apellido)",Chrome 113.0.0.0,,,2023-05-23 17:41:31,2023-05-23 17:41:32,"1,366s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Email_userEmail""), Email)",Chrome 113.0.0.0,,,2023-05-23 17:41:32,2023-05-23 17:41:34,"1,682s",PASSED
"setText(findTestObject(""Object Repository/Variables_simples/Page_DEMOQA/input_Age_age""), Edad)",Chrome 113.0.0.0,,,2023-05-23 17:41:34,2023-05-23 17:41:35,"1,392s",PASSED
